Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
0.0,0.0,22.0,0.0,0.0,1.0,0.0,4.0,0.0
1.0,1.0,67.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,1.0,67.0,1.0,2.0,0.0,1.0,2.0,1.0
0.0,1.0,56.0,0.0,3.0,0.0,2.0,2.0,2.0
0.0,0.0,32.0,1.0,0.0,1.0,0.0,3.0,2.0
1.0,0.0,33.0,1.0,0.0,1.0,0.0,3.0,0.0
1.0,1.0,61.0,1.0,1.0,0.0,0.0,3.0,0.0
1.0,1.0,55.0,1.0,3.0,1.0,2.0,4.0,2.0
1.0,0.0,26.0,1.0,1.0,1.0,0.0,3.0,3.0
0.0,0.0,19.0,0.0,0.0,4.0,0.0,4.0,0.0
1.0,1.0,58.0,0.0,4.0,0.0,0.0,1.0,1.0
1.0,0.0,41.0,0.0,0.0,1.0,0.0,2.0,2.0
1.0,0.0,32.0,0.0,5.0,9.0,0.0,5.0,0.0
0.0,0.0,31.0,0.0,0.0,1.0,0.0,6.0,1.0
0.0,1.0,58.0,1.0,6.0,1.0,2.0,4.0,1.0
1.0,1.0,79.0,1.0,3.0,0.0,1.0,1.0,2.0
0.0,1.0,49.0,1.0,5.0,12.0,0.0,1.0,3.0
1.0,0.0,18.0,0.0,0.0,3.0,0.0,4.0,0.0
0.0,1.0,33.0,1.0,3.0,13.0,0.0,2.0,3.0
1.0,0.0,36.0,1.0,3.0,5.0,0.0,2.0,1.0
0.0,1.0,56.0,0.0,3.0,1.0,2.0,3.0,2.0
0.0,0.0,31.0,0.0,0.0,9.0,0.0,8.0,3.0
0.0,1.0,49.0,1.0,3.0,1.0,2.0,3.0,2.0
0.0,0.0,35.0,1.0,3.0,0.0,0.0,1.0,1.0
1.0,0.0,35.0,0.0,3.0,5.0,0.0,4.0,2.0
1.0,1.0,45.0,1.0,3.0,0.0,0.0,3.0,2.0
1.0,1.0,42.0,0.0,4.0,1.0,0.0,2.0,3.0
0.0,0.0,19.0,0.0,0.0,1.0,0.0,3.0,0.0
1.0,1.0,83.0,0.0,2.0,1.0,1.0,2.0,0.0
1.0,0.0,27.0,1.0,0.0,3.0,0.0,4.0,0.0
0.0,0.0,32.0,0.0,4.0,5.0,0.0,1.0,0.0
1.0,1.0,28.0,0.0,0.0,1.0,2.0,5.0,0.0
1.0,1.0,28.0,1.0,3.0,8.0,0.0,2.0,3.0
1.0,0.0,47.0,1.0,3.0,4.0,0.0,1.0,1.0
